time(s),pop_state_1,pop_state_2,pop_state_3
0.0,0.9999999999999999,-1.776312000281051e-17,1.9279149955170498e-18
1.001001001001001e-05,0.7891445141913767,0.21081727339397463,3.821241464871568e-05
2.002002002002002e-05,0.6733024637983654,0.3265690604134769,0.0001284757881576466
3.003003003003003e-05,0.6096433485542003,0.39010967466047114,0.00024697678532844007
4.004004004004004e-05,0.5746440397155405,0.42497532174170743,0.0003806385427517913
5.005005005005005e-05,0.55538529514193,0.4440924240449629,0.000522280813106756
6.006006006006006e-05,0.5447716799880444,0.45456035816522733,0.0006679618467278609
7.007007007007007e-05,0.5389062782822005,0.4602782032030877,0.0008155185147115169
8.008008008008008e-05,0.5356488467032438,0.46338738877321767,0.0009637645235383473
9.009009009009009e-05,0.5338239318624015,0.46506401807456144,0.0011120500630367534
0.0001001001001001001,0.5327859569059564,0.4659540231352989,0.001260019958744494
0.0001101101101101101,0.5321803608117003,0.46641215834255423,0.001407480845745129
0.00012012012012012012,0.5318124126493059,0.46663325913202475,0.0015543282186689588
0.00013013013013013012,0.5315751624821323,0.46672433115132145,0.0017005063665458907
0.00014014014014014013,0.5314098709644761,0.46674414266703096,0.0018459863684925104
0.00015015015015015014,0.5312842767062768,0.4667249692850535,0.0019907540086693083
0.00016016016016016016,0.5311806603966913,0.46668453646426455,0.00213480313904376
0.00017017017017017017,0.5310892894487813,0.4666325785170516,0.002278132034166604
0.00018018018018018018,0.5310048177039111,0.4665744409068837,0.002420741389204763
0.0001901901901901902,0.5309243080975108,0.46651305868201465,0.002562633220474146
0.0002002002002002002,0.5308461466786049,0.46645004305975635,0.002703810261638285
0.0002102102102102102,0.5307694461736693,0.4663862781941967,0.0028442756321335194
0.0002202202202202202,0.5306937184152862,0.46632224892960855,0.0029840326551046933
0.00023023023023023022,0.5306186944352209,0.4662582208073246,0.0031230847574540703
0.00024024024024024023,0.5305442256569243,0.46619433892808754,0.003261435414987653
0.00025025025025025025,0.5304702296290116,0.4661306822486584,0.003399088122329602
0.00026026026026026023,0.5303966602212836,0.4660672934022766,0.003536046376439325
0.0002702702702702703,0.530323491255932,0.46600419507646834,0.0036723136675991903
0.00028028028028028026,0.5302507075175388,0.46594139900795567,0.0038078934745049754
0.0002902902902902903,0.5301782998156175,0.4658789109227724,0.003942789261609532
0.0003003003003003003,0.5301062622728687,0.4658167332494272,0.004077004477703505
0.00031031031031031033,0.5300345908358289,0.465754866608995,0.004210542555175492
0.0003203203203203203,0.5299632824568768,0.4656933106334776,0.004343406909645017
0.0003303303303303303,0.5298923346449583,0.46563206441524085,0.004475600939800138
0.00034034034034034034,0.5298217452188174,0.4655711267538348,0.004607128027347207
0.0003503503503503503,0.5297515121714454,0.46551049629153185,0.004737991537022011
0.00036036036036036037,0.5296816335956155,0.46545017158774926,0.004868194816634519
0.00037037037037037035,0.5296121076429627,0.46539015115990473,0.004997741197131745
0.0003803803803803804,0.529542932501491,0.4653304335058377,0.005126633992670532
0.0003903903903903904,0.5294741063831987,0.4652710171161052,0.00525487650069544
0.0004004004004004004,0.5294056275172621,0.46521190048071787,0.00538247200201937
0.0004104104104104104,0.5293374941462717,0.46515308209282213,0.005509423760905423
0.0004204204204204204,0.5292697045241453,0.4650945604507047,0.00563573502514926
0.00043043043043043043,0.5292022569149609,0.4650363340588766,0.005761409026161578
0.0004404404404404404,0.5291351495922971,0.46497840142865154,0.005886448979050438
0.00045045045045045046,0.5290683808388501,0.46492076107844565,0.006010858082703321
0.00046046046046046044,0.529001948946204,0.46486341153392624,0.006134639519868862
0.0004704704704704705,0.5289358522146852,0.46480635132807574,0.006257796457238221
0.00048048048048048047,0.5288700889532626,0.46474957900121044,0.006380332045526073
0.0004904904904904905,0.5288046574794741,0.4646930931009738,0.006502249419551181
0.0005005005005005005,0.5287395561193661,0.46463689218231646,0.006623551698316589
0.0005105105105105105,0.5286747832074415,0.4645809748074682,0.0067442419850894065
0.0005205205205205205,0.5286103370866122,0.46452533954590663,0.006864323367480211
0.0005305305305305305,0.5285462161081538,0.46446998497432324,0.006983798917522028
0.0005405405405405405,0.5284824186316617,0.46441490967658844,0.007102671691748908
0.0005505505505505506,0.5284189430250087,0.4643601122437162,0.007220944731274142
0.0005605605605605605,0.5283557876643024,0.4643055912738286,0.007338621061868052
0.0005705705705705706,0.5282929509338435,0.46425134537212015,0.007455703694035399
0.0005805805805805806,0.5282304312260845,0.4641973731508221,0.007572195623092405
0.0005905905905905905,0.5281682269415883,0.46414367322916744,0.00768809982924337
0.0006006006006006006,0.5281063364889871,0.4640902442333551,0.007803419277656938
0.0006106106106106106,0.5280447582849421,0.464037084796515,0.007918156918541924
0.0006206206206206207,0.5279834907541028,0.4639841935586734,0.008032315687222817
0.0006306306306306306,0.5279225323290665,0.4639315691667177,0.008145898504214854
0.0006406406406406406,0.5278618814503384,0.46387921027436196,0.00825890827529874
0.0006506506506506507,0.5278015365662915,0.4638271155421126,0.008371347891594997
0.0006606606606606606,0.527741496133127,0.46377528363723386,0.00848322022963792
0.0006706706706706706,0.5276817586148355,0.46372371323371425,0.008594528151449158
0.0006806806806806807,0.527622322483156,0.46367240301223184,0.008705274504610954
0.0006906906906906907,0.5275631862175387,0.4636213516601211,0.008815462122338972
0.0007007007007007007,0.527504348305105,0.4635705578713391,0.008925093823554792
0.0007107107107107107,0.5274458072406086,0.46352002034643214,0.009034172412958029
0.0007207207207207207,0.5273875615263982,0.46346973779250256,0.00914270068109807
0.0007307307307307307,0.5273296096723779,0.4634197089231754,0.00925068140444549
