Fit #1
U23C6_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),2.47,7.68
dwC (ppm),2.38,0.74
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),954,63
R1 (s^-1),2.37,0.09
R2 (s^-1),38.61,0.22
Red. Chi-sq,0.71
