Fit #1
U23C6_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),-1.66,2.61
dwC (ppm),2.42,0.20
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),954,63
R1 (s^-1),2.44,0.07
R2 (s^-1),31.49,0.17
Red. Chi-sq,0.71
