Fit #1
U38N3_25C_pH7.4 Pars,Fit Value,Error
pB (%),0.063,0.063
pC (%),0.040,0.040
dwB (ppm),0.15,0.31
dwC (ppm),-6.00,0.54
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),3173,770
R1 (s^-1),1.48,0.02
R2 (s^-1),8.26,0.07
Red. Chi-sq,1.18
