Fit #1
U23C6_25C_pH7.4 Pars,Fit Value,Error
pB (%),0.063,0.063
pC (%),0.040,0.040
dwB (ppm),-0.73,6.66
dwC (ppm),3.03,0.67
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),3173,770
R1 (s^-1),1.95,0.06
R2 (s^-1),47.55,0.18
Red. Chi-sq,1.18
