Fit #1
A35C8_25C_pH7.4 Pars,Fit Value,Error
pB (%),0.063,0.063
pC (%),0.040,0.040
dwB (ppm),0.71,2.11
dwC (ppm),-2.58,0.35
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),3173,770
R1 (s^-1),1.52,0.03
R2 (s^-1),21.40,0.08
Red. Chi-sq,1.18
