Fit #1
U23C6_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),0.31,4.03
dwC (ppm),2.20,0.38
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),2583,271
R1 (s^-1),2.40,0.07
R2 (s^-1),38.31,0.20
Red. Chi-sq,0.41
