Fit #1
A35C8_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),0.98,0.94
dwC (ppm),-2.71,0.11
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),2583,271
R1 (s^-1),1.93,0.02
R2 (s^-1),18.10,0.07
Red. Chi-sq,0.41
