offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-6.000000000000000000e+02,2.000000000000000000e+02,2.086861451391262001e+00,5.201322265376534526e-02,7.368614513912621788e+00,5.201322265376532306e-01,9.930732633255745512e-01
-5.478260869565217490e+02,2.000000000000000000e+02,2.191966708106620310e+00,5.331177994173936369e-02,7.383679117322447638e+00,4.533012971227666221e-01,9.927315666018377005e-01
-4.956521739130434980e+02,2.000000000000000000e+02,2.505724252817389086e+00,5.444612816411849993e-02,8.682658274374475127e+00,3.888421024651034230e-01,1.008001951748702885e+00
-4.434782608695652470e+02,2.000000000000000000e+02,2.682215653304776293e+00,5.429624375610426351e-02,8.494962183069848294e+00,3.212613288404657097e-01,1.004270617098402152e+00
-3.913043478260869961e+02,2.000000000000000000e+02,2.928479750305367890e+00,5.655191365012435245e-02,8.396667830396806309e+00,2.730313562616589751e-01,9.952312967909895391e-01
-3.391304347826086882e+02,2.000000000000000000e+02,3.253930450455325918e+00,5.846320014682212379e-02,8.296894940327824486e+00,2.265587151247359932e-01,9.934801935971359077e-01
-2.869565217391304373e+02,2.000000000000000000e+02,4.058394243022616088e+00,6.268295295696597880e-02,9.325107533479378930e+00,1.917221510101529691e-01,1.002762805239413968e+00
-2.347826086956521863e+02,2.000000000000000000e+02,4.703803278939697741e+00,7.458999020891582399e-02,9.118874338196860663e+00,1.773803547879321263e-01,9.820767155399343640e-01
-1.826086956521739353e+02,2.000000000000000000e+02,5.891514465770302245e+00,8.615702104967581931e-02,9.552493443851028943e+00,1.579816832101806623e-01,9.846733360715754779e-01
-1.304347826086956843e+02,2.000000000000000000e+02,7.730312135870652135e+00,9.513528521420934470e-02,1.038025586095741559e+01,1.355992534055082410e-01,1.002591737372313885e+00
-7.826086956521737648e+01,2.000000000000000000e+02,9.918917836022824730e+00,1.403085531995069968e-01,1.120801489598095024e+01,1.617924715533067548e-01,9.977186215366772304e-01
-2.608695652173912549e+01,2.000000000000000000e+02,1.201984644947718195e+01,1.698717893332240825e-01,1.219882304313558308e+01,1.727618575827496172e-01,9.934338276069729634e-01
2.608695652173912549e+01,2.000000000000000000e+02,1.351408267938490759e+01,1.979951701561105948e-01,1.371848106145383639e+01,2.013637080226606813e-01,9.881736812830570482e-01
7.826086956521737648e+01,2.000000000000000000e+02,1.330233499811291509e+01,2.021769436107788420e-01,1.510949782391092278e+01,2.331340937666826207e-01,9.860052770337456307e-01
1.304347826086956275e+02,2.000000000000000000e+02,1.328117479504120624e+01,1.904750481440412591e-01,1.829207144699634568e+01,2.714899551996353133e-01,1.001242466000889175e+00
1.826086956521738784e+02,2.000000000000000000e+02,1.205889977925613543e+01,1.742184233058059473e-01,2.086130961413695317e+01,3.194553319596062924e-01,9.977382207285753202e-01
2.347826086956521294e+02,2.000000000000000000e+02,1.059055876898999848e+01,1.463960012490057860e-01,2.311800176066051904e+01,3.481402071290155553e-01,9.980549325689109796e-01
2.869565217391303804e+02,2.000000000000000000e+02,9.305486983748192387e+00,1.236782095264165049e-01,2.537387134159654423e+01,3.782823119352397567e-01,9.971675542900609868e-01
3.391304347826086314e+02,2.000000000000000000e+02,7.533865460290618543e+00,1.021075924711416644e-01,2.488265443023773571e+01,3.956910483286206759e-01,9.954978934847382721e-01
3.913043478260868824e+02,2.000000000000000000e+02,5.911627134963634234e+00,8.067212940574514102e-02,2.279923573288680316e+01,3.894832107793441134e-01,1.001731688271729981e+00
4.434782608695652470e+02,2.000000000000000000e+02,4.587888311299437305e+00,7.073933366781431920e-02,1.977049227668664955e+01,4.185522010968975581e-01,1.000689399324410367e+00
4.956521739130434980e+02,2.000000000000000000e+02,3.621893419945494852e+00,6.318286807759505852e-02,1.665408949065043842e+01,4.512379500891383066e-01,9.899945450379769030e-01
5.478260869565217490e+02,2.000000000000000000e+02,3.123578146320899585e+00,5.826159241579267900e-02,1.530501796247902035e+01,4.953887385373069163e-01,1.007177615904733203e+00
6.000000000000000000e+02,2.000000000000000000e+02,2.673995599092835906e+00,5.323881300621039619e-02,1.323995599092835818e+01,5.323881300621037260e-01,9.951408957730467630e-01
-1.200000000000000000e+03,4.000000000000000000e+02,2.058420781296080637e+00,4.906149435704849210e-02,7.084207812960805484e+00,4.906149435704847406e-01,9.939333457386448911e-01
