Fit #1
A35C8_25C_pH7.4 Pars,Fit Value,Error
pB (%),0.063,0.063
pC (%),0.040,0.040
dwB (ppm),0.32,0.32
dwC (ppm),-2.73,-2.73
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),609,609
R1 (s^-1),1.51,1.51
R1b (s^-1),0.00,0.00
R2 (s^-1),21.63,21.63
R2b (s^-1),0.00,0.00
Red. Chi-sq,1.89
