Fit #1
U23C6_25C_pH5.4 Pars,Fit Value,Error
pB (%),5.720,5.720
pC (%),3.640,3.640
dwB (ppm),0.56,1.63
dwC (ppm),1.22,0.11
kexAB (s^-1),40200000,40200000
kexAC (s^-1),0,0
kexBC (s^-1),954,954
R1 (s^-1),2.09,0.19
R2 (s^-1),50.53,0.53
Red. Chi-sq,1.89
