Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
9.981853632439887658e-01,1.958592577937031190e-02,9.908314299999998465e-01,9.168569999999999151e-03,0.000000000000000000e+00,4.431132863446648473e-01,0.000000000000000000e+00,8.862265726893296947e-01,4.100309155293049151e-03,0.000000000000000000e+00,8.200618310586098303e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.635879227944622594e-01,1.915158366179537178e-02,9.779177449686006218e-01,9.003992463510078134e-03,-1.159097591904303439e-17,4.373052097007538164e-01,1.453688736931287441e-04,8.746926722261700871e-01,4.541160084433312587e-03,-2.434114282416904585e-05,7.796189566435508117e-03,-5.889777640472296777e-18,1.304198507602895344e-18,-1.001421622003551333e-17,5.000000000000000104e-03
9.877495566874575639e-01,2.034471287470758158e-02,9.651678257926200599e-01,8.882907734029565211e-03,-2.287892824624830668e-17,4.316023109597559304e-01,1.450648159996190090e-04,8.632892786041086453e-01,4.522450081846234558e-03,-2.603014754182544335e-05,7.670167724651247299e-03,-1.161050624307927744e-17,2.571463321025544177e-18,-1.977416628393599246e-17,1.000000000000000021e-02
9.435036635764332269e-01,2.012491954403014885e-02,9.525837670487845577e-01,8.766789409090647300e-03,-1.277987300195086158e-22,4.259761149362394916e-01,1.335150933945341970e-04,8.520329712238335906e-01,4.466784808876493248e-03,-2.586574807762685623e-05,7.568176127137704254e-03,1.440399499159499097e-20,5.575477817384542042e-21,-7.344880819678377644e-21,1.499999999999999944e-02
1.003270496167258274e+00,2.105633131765320340e-02,9.401637515475437246e-01,8.652462557985029362e-03,-4.457544670363518024e-17,4.204234027313899502e-01,1.217019719387617521e-04,8.409233278550704016e-01,4.408797041267744320e-03,-2.555282531640946451e-05,7.469348705579249327e-03,-2.256821427585577995e-17,4.939891241668018990e-18,-3.855275734044570381e-17,2.000000000000000042e-02
9.610644430797915527e-01,2.038846191909543526e-02,9.279056686518811770e-01,8.539648995369207574e-03,-9.884985133539378822e-22,4.149430376544247512e-01,1.104907161430979963e-04,8.299585570792886724e-01,4.351316454116458884e-03,-2.523111425302285090e-05,7.371959601758438195e-03,2.759112731666612711e-21,5.171312953357731816e-21,-2.484731301591750602e-21,2.500000000000000139e-02
9.138209575601727863e-01,1.990900752672724108e-02,9.158074093511561209e-01,8.428308114960264205e-03,-4.934113871955379410e-23,4.095340649488030116e-01,9.991911371043911221e-05,8.191367783291793048e-01,4.294565857044428669e-03,-2.491205185745485505e-05,7.275852011659917143e-03,1.852245773865696300e-20,1.224387640665604478e-20,-9.316393939460565242e-21,2.999999999999999889e-02
8.892964865089491022e-01,2.069608566298533278e-02,9.038668900183790544e-01,8.318419008539124776e-03,5.359717961549518699e-17,4.041955558442674734e-01,8.995885354355275334e-05,8.084561264240771594e-01,4.238554489576696303e-03,-2.459655719691275789e-05,7.180997939421596664e-03,2.552032850103053935e-17,-1.168181796486364166e-18,4.716330426074136954e-17,3.500000000000000333e-02
8.915690182266030606e-01,1.918679263783386671e-02,8.920820540205938176e-01,8.209962610895942675e-03,-8.461007839640997977e-17,3.989265946342785973e-01,8.057784680370979247e-05,7.979147598317043455e-01,4.183274204516908464e-03,-2.428468608948220698e-05,7.087380143089037042e-03,-4.265024443081161268e-17,9.052151960445485575e-18,-7.327182122257374477e-17,4.000000000000000083e-02
9.239787604086892037e-01,2.022999840220637488e-02,8.804508715253164253e-01,8.102920233893091961e-03,-2.463357238752236634e-21,3.937262774819407785e-01,7.174525014943724111e-05,7.875108610488003036e-01,4.128715547943455182e-03,-2.397642259341169253e-05,6.994982455649997183e-03,-2.314707082482461310e-21,-1.318969018711389600e-20,-1.596763578116859420e-21,4.499999999999999833e-02
