Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.022791055983604869e+00,1.909251215785332315e-02,9.908314300000001795e-01,9.168570000000000886e-03,0.000000000000000000e+00,9.227046150930267032e-01,0.000000000000000000e+00,3.610583276450973211e-01,8.538164612726779901e-03,0.000000000000000000e+00,3.341020935414825994e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.112902885625194793e-01,2.089450207402590923e-02,9.430970255218809051e-01,2.128495932234294747e-03,8.015546133876074894e-21,8.773052625700952234e-01,-2.142524416978209591e-03,3.460841372161659879e-01,2.864667399742390659e-03,-1.833120600345273859e-03,-1.479708737501015921e-03,1.175964483738024500e-20,4.353373642782885209e-20,-8.055827279256857135e-21,5.000000000000000104e-03
8.381218998604070824e-01,1.927573864530742268e-02,8.969473256054614207e-01,1.484489823817604489e-03,1.156205824811567632e-20,8.342860225301007571e-01,-2.230803303273934130e-03,3.293762499368317331e-01,2.293939113339056503e-03,-1.893530430673322999e-03,-1.788489510485540002e-03,1.573466053114731096e-20,4.662169122087634525e-20,-8.481713193714648392e-21,1.000000000000000021e-02
8.523189179388955816e-01,2.032755872721311169e-02,8.529974393747475903e-01,1.367540441666027090e-03,-4.666058970288684666e-19,7.933881439839526317e-01,-2.154443919182743618e-03,3.132839266322666738e-01,2.146248398816738220e-03,-1.813168271902508089e-03,-1.731995091774013798e-03,-5.194036836935461596e-19,-1.447233305408229058e-19,4.688546571191952495e-20,1.499999999999999944e-02
7.866359789263883684e-01,1.982648571990024144e-02,8.111962841860259621e-01,1.296896692826092360e-03,1.716217332493593602e-20,7.544960045084229128e-01,-2.068025956703612410e-03,2.979624636917479474e-01,2.038146471529191789e-03,-1.725454241733641097e-03,-1.649598154085099881e-03,2.159294221762729344e-20,4.585990466074001165e-20,-8.084806461123782666e-21,2.000000000000000042e-02
7.784041249391426831e-01,1.999975749270853712e-02,7.714432042102979947e-01,1.233037638079854340e-03,-1.430931126708558330e-17,7.175103387182586445e-01,-1.984065654577739802e-03,2.833893153677627397e-01,1.937992559549403266e-03,-1.641109326477636129e-03,-1.568893968529379117e-03,-1.336770993282529367e-17,1.218589533254646666e-19,-5.106287698343746019e-18,2.500000000000000139e-02
7.237702431290413685e-01,1.977370141192726777e-02,7.336382125512052044e-01,1.172580392384366642e-03,-4.288904584685911429e-19,6.823376225812028961e-01,-1.903452528345979736e-03,2.695290992793039075e-01,1.842965110019590021e-03,-1.560817021398776564e-03,-1.491955355268357371e-03,-4.754751877831524079e-19,-1.394506285979433499e-19,3.812404478170303366e-20,2.999999999999999889e-02
7.027948524272371600e-01,1.988164076774123767e-02,6.976858731345813025e-01,1.115108453165044623e-03,-1.572834804136982713e-19,6.488889877663723826e-01,-1.826129693814607016e-03,2.563470236992834717e-01,1.752613699622437545e-03,-1.484448398708101448e-03,-1.418774216352667586e-03,-1.797217934717062588e-19,-1.614639182018185824e-19,2.766509367227765381e-20,3.500000000000000333e-02
6.344273754519086372e-01,2.031627501361668586e-02,6.634953982059220712e-01,1.060455058763241313e-03,2.559763407994522919e-20,6.170799275509117887e-01,-1.751968168484817692e-03,2.438099066830695938e-01,1.666692814777070248e-03,-1.411817057289961944e-03,-1.349180762535690577e-03,3.036679489104923093e-20,4.356119187923385939e-20,-7.357928645027559034e-21,4.000000000000000083e-02
6.130354692634022440e-01,1.928217412796493641e-02,6.309804467786679361e-01,1.008480399042641562e-03,-8.118871464956912615e-20,5.868300776486866654e-01,-1.680838235407639599e-03,2.318861830662469203e-01,1.584983946727263737e-03,-1.342740500093633207e-03,-1.283000255400715403e-03,-9.445284975542730349e-20,-1.158438175427381161e-19,1.857802362758380993e-20,4.499999999999999833e-02
