Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.005000930238757917e+00,2.073211114142881409e-02,9.908314300000000685e-01,9.168570000000000886e-03,0.000000000000000000e+00,9.825088534042321076e-01,0.000000000000000000e+00,1.281533287048998160e-01,9.091557781989657167e-03,0.000000000000000000e+00,1.185855362868215926e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.441508259021439420e-01,1.949875251959248129e-02,9.417890448002985693e-01,2.841842214607068901e-03,-4.493275490401680222e-20,9.336756750480634803e-01,-2.082048997320480946e-03,1.233644824889685715e-01,3.230570125448894644e-03,-1.530708538189947017e-03,-2.795691443085960605e-03,-4.494429905866117894e-20,-8.116671183829425706e-21,-2.829532903038140354e-21,5.000000000000000104e-03
8.720982412942935857e-01,1.953720931400656016e-02,8.946886480153910526e-01,2.218738726263174213e-03,-5.150524309177523541e-20,8.869614701691611591e-01,-2.178687577598974190e-03,1.173448680591862442e-01,2.625846529213639747e-03,-1.579602081203984338e-03,-2.977069745663729269e-03,-5.158321781288109085e-20,-8.728538064948848693e-21,-2.747064633002033158e-21,1.000000000000000021e-02
8.393331404696078302e-01,2.117099089220638580e-02,8.499040881097466027e-01,2.068171798154882623e-03,-1.500094447123575409e-20,8.425592455488792876e-01,-2.115176976096008570e-03,1.115052169122126569e-01,2.457992951375456269e-03,-1.510914742676181758e-03,-2.854316932511519363e-03,-1.516416648827527367e-20,-1.192823600893919422e-24,2.771724137021516749e-22,1.499999999999999944e-02
7.638009471759352742e-01,2.015302545098238488e-02,8.073580124309601702e-01,1.961304809195405646e-03,-5.714984933270141073e-20,8.003777458870982020e-01,-2.040974365784405456e-03,1.059470925518788131e-01,2.331857811375530245e-03,-1.436228785346038532e-03,-2.713534633158674880e-03,-5.735755000921840543e-20,-8.657801082997544380e-21,-2.119072892732649714e-21,2.000000000000000042e-02
8.078074170070197457e-01,1.981150479863991176e-02,7.669415213687010846e-01,1.862754199399194524e-03,-1.649253310724007628e-19,7.603078012575565925e-01,-1.968247783526552459e-03,1.006654952051796170e-01,2.214770621349188267e-03,-1.364504497519303423e-03,-2.577820958257558137e-03,-1.661693845246805748e-19,-1.030789220011021645e-20,-1.172893212985115845e-21,2.500000000000000139e-02
7.729575220890927412e-01,1.986306195609376796e-02,7.285482661422588713e-01,1.769383815047677160e-03,-1.522906421600681813e-20,7.222438661941159577e-01,-1.897919819735092170e-03,9.564735958876199873e-02,2.103772778503687144e-03,-1.296303298040124216e-03,-2.448740800722948481e-03,-1.542455667214105932e-20,-2.193793745676537889e-24,5.097644842021651371e-22,2.999999999999999889e-02
6.966636604222576912e-01,1.978159581353770152e-02,6.920769842608086586e-01,1.680711355553740193e-03,-4.221879734441244884e-20,6.860855283321779519e-01,-1.829993781410786365e-03,9.087959184546928748e-02,1.998354010493365654e-03,-1.231507114248010749e-03,-2.326111032133002920e-03,-7.088368677956736317e-20,-1.251671314908856247e-19,2.170223649926129076e-19,3.500000000000000333e-02
6.723262388977203630e-01,1.868049607113503666e-02,6.574314630047028984e-01,1.596483232967945386e-03,-6.436019780861159124e-20,6.517373898125241594e-01,-1.764399635019809134e-03,8.634969643319620469e-02,1.898218045801188490e-03,-1.169950409320524420e-03,-2.209620880396754011e-03,-6.478093524723254393e-20,-8.348091110451311838e-21,-9.540479269077707310e-22,4.000000000000000083e-02
6.170083316307820587e-01,1.983034342916119991e-02,6.245203044942345683e-01,1.516475319473106591e-03,-8.602966681606957050e-20,6.191088275762250959e-01,-1.701063276887008167e-03,8.204579746745536972e-02,1.803098889945480747e-03,-1.111471554529430130e-03,-2.098963923137242126e-03,-8.647393971234260088e-20,-1.101087952231374715e-20,-2.180875366202270144e-21,4.499999999999999833e-02
6.061099377637225727e-01,2.011949534288978714e-02,5.932566861203084629e-01,1.440476086033365541e-03,-1.600276457262859264e-19,5.881137552578072913e-01,-1.639912173510083351e-03,7.795661195071995619e-02,1.712745135316398170e-03,-1.055916648152554907e-03,-1.993848161810397000e-03,-1.615418280761376042e-19,-9.815884347898724905e-21,1.216162131529004578e-21,5.000000000000000278e-02
5.548757645599524668e-01,1.879641183284116307e-02,5.635581316249512751e-01,1.368284710894524881e-03,-1.573381191132857752e-19,5.586703961466739088e-01,-1.580875788237023211e-03,7.407142048553840008e-02,1.626918069456598443e-03,-1.003139457786878398e-03,-1.893996142859380363e-03,-1.588102011838945480e-19,-8.822969025013819067e-21,1.068057466314960318e-21,5.500000000000000028e-02
5.365107520637416583e-01,1.959012242543617041e-02,5.353462935316886107e-01,1.299710440077728960e-03,-1.493848360090530226e-20,5.307010674447457665e-01,-1.523885580224663017e-03,7.038003913603134432e-02,1.545390944164205371e-03,-9.530010635932098864e-04,-1.799144298583452367e-03,-1.517752003219922525e-20,-3.711688591214840419e-24,8.624726111780366976e-22,5.999999999999999778e-02
5.115653711243148827e-01,1.932554058124060989e-02,5.085467464584200181e-01,1.234572074710964381e-03,-5.458314339147287096e-20,5.041319753186702668e-01,-1.468874967890071263e-03,6.687279267025943164e-02,1.467948368537627668e-03,-9.053694946497319257e-04,-1.709042257567298679e-03,-8.540686926145788305e-20,-1.985214969940290476e-19,2.327704748047758230e-19,6.500000000000000222e-02
4.877909549314906057e-01,1.964805686947034696e-02,4.830887907764762623e-01,1.172697491801426078e-03,-2.630007223855246582e-20,4.788930202116422064e-01,-1.415779289100441542e-03,6.354048913818906297e-02,1.394385739569551372e-03,-8.601193814755162242e-04,-1.623452184435667965e-03,-5.823317821318792649e-20,-1.392775819275303656e-19,2.431124909977007661e-19,7.000000000000000666e-02
4.704880815573688757e-01,2.072120767311450354e-02,4.589052660983742316e-01,1.113923189642346268e-03,1.189718049154852158e-19,4.549176119014334829e-01,-1.364535760844016099e-03,6.037439572038193897e-02,1.324508701840201256e-03,-8.171316257746753711e-04,-1.542148152238364189e-03,1.198494310548380462e-19,7.179238251219710386e-21,9.978399199229426463e-22,7.499999999999999722e-02
4.140987742319061082e-01,1.921624593138273815e-02,4.359323741025361021e-01,1.058093856036733654e-03,-6.884042507106748204e-20,4.321424938169943775e-01,-1.315083438705948182e-03,5.736621578405495109e-02,1.258132634314816731e-03,-7.762930866903222952e-04,-1.464915546222778824e-03,-6.953771725592633336e-20,-7.600136574705744266e-21,8.752487011282337623e-22,8.000000000000000167e-02
4.268000678308095375e-01,1.991587719543190874e-02,4.141095102273373296e-01,1.005061958147844721e-03,-9.600197565228774878e-20,4.105075761499077935e-01,-1.267363176258381021e-03,5.450806708611646845e-02,1.195082162844239050e-03,-7.374962827579142248e-04,-1.391550497454192067e-03,-9.749779716898037754e-20,8.592518021817789217e-22,5.233372354269584106e-21,8.500000000000000611e-02
3.913830190289599442e-01,1.993908671696399681e-02,3.933791037907247712e-01,9.546873528890661292e-04,-8.250197153044955316e-20,3.899557773206559497e-01,-1.221317584456037579e-03,5.179246106585712328e-02,1.135190697077587824e-03,-7.006391087705341088e-04,-1.321859344792711624e-03,-8.316022750088172303e-20,-9.855919408616091037e-21,-3.112416900233473169e-22,8.999999999999999667e-02
4.020715486212470546e-01,2.034307614401453801e-02,3.736864661133564303e-01,9.068369168246288598e-04,-8.903766703481634229e-20,3.704328733811865226e-01,-1.176890991116347727e-03,4.921228317277180631e-02,1.078299990564530369e-03,-6.656245668114890972e-04,-1.255658123806974863e-03,-9.002417990903324019e-20,-3.077195464657642450e-21,1.780951235649759699e-21,9.500000000000000111e-02
3.522595365727768102e-01,2.097831695465915761e-02,3.549796462448233103e-01,8.613841946044529727e-04,-1.398618870211231813e-19,3.518873549566960968e-01,-1.134029400557460404e-03,4.676077417778198853e-02,1.024259722886280369e-03,-6.323605107440370124e-04,-1.192772081276131371e-03,-1.416359372332647573e-19,-8.643616096951595220e-21,4.518093896601780032e-21,1.000000000000000056e-01
3.357138336103406284e-01,1.899800076074380228e-02,3.372092939122410815e-01,8.182090650044185950e-04,3.438075705177156595e-17,3.342702913491080174e-01,-1.092680453457908762e-03,4.443151241866817591e-02,9.729271027116812324e-04,-6.007594034865569631e-04,-1.133035213999188280e-03,3.408641912011368001e-17,-3.753386219377423494e-20,4.489357502802220476e-18,1.049999999999999961e-01
3.227325838312262163e-01,1.855205800002819594e-02,3.203285293296431746e-01,7.771974236910549842e-04,-1.278819711647988297e-19,3.175352014437070047e-01,-1.052793387000477022e-03,4.221839693300120239e-02,9.241664907311446589e-04,-5.707380864320046703e-04,-1.076289830694598850e-03,-1.294766661294443273e-19,-7.630521662359937302e-21,3.921040725860751147e-21,1.100000000000000006e-01
3.179551005157995047e-01,2.013590947446925253e-02,3.042928195247970313e-01,7.382408818725666498e-04,-2.176382038248581119e-20,3.016379310784316203e-01,-1.014318995352622320e-03,4.011563143420197181e-02,8.778490414724861345e-04,-5.422175604043918398e-04,-1.022386135834103425e-03,-2.227269015040261168e-20,1.782805653687886362e-21,2.487941540655817059e-21,1.150000000000000050e-01
