Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
9.836137153958328661e-01,1.943338452171909994e-02,9.908314300000001795e-01,9.168570000000000886e-03,0.000000000000000000e+00,9.227046150930267032e-01,0.000000000000000000e+00,-3.610583276450973211e-01,8.538164612726779901e-03,0.000000000000000000e+00,-3.341020935414825994e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.572694081139582201e-01,1.977404981926358593e-02,9.514233396238007678e-01,5.471265180439362566e-03,-1.022424315601514341e-20,8.862811257314419100e-01,-1.392770034396745857e-03,-3.459952411771436975e-01,3.670969901620376070e-03,-9.307411814114232218e-04,-5.633108217768158926e-03,-9.547564782212746621e-21,6.556842544924072420e-21,3.658465345779940844e-21,5.000000000000000104e-03
9.013229854342954539e-01,2.039500569191805140e-02,9.134374775503363297e-01,4.980023507189337492e-03,-1.411928334247440101e-20,8.509176137843201815e-01,-1.441244902214170506e-03,-3.321262621919834901e-01,3.153758092283856333e-03,-9.697688155657926100e-04,-5.606785694788339255e-03,-1.386098436061863214e-20,7.177206602069139098e-21,3.324214880604511324e-21,1.000000000000000021e-02
8.997708955132129871e-01,1.968958716556593741e-02,8.769563521455185917e-01,4.758824154359903372e-03,-1.554753488591245709e-20,8.169342397990221327e-01,-1.382684852076688196e-03,-3.188596255478717278e-01,2.997482775663688325e-03,-9.372613683958639415e-04,-5.399131392234191029e-03,-1.731953621270274037e-20,-3.434174704607184988e-21,-1.594838635917310664e-21,1.499999999999999944e-02
8.289369081637438796e-01,2.006528339080938805e-02,8.419312509533244393e-01,4.566962846029174600e-03,-2.013996307257184973e-20,7.843055444988574765e-01,-1.318261621074010622e-03,-3.061267150726723063e-01,2.875311508289492279e-03,-9.003226460092992808e-04,-5.184832991303449379e-03,-2.082263005978595805e-20,7.372081324059930255e-21,2.055544769303275382e-21,2.000000000000000042e-02
8.278746508643114455e-01,1.917139059748904778e-02,8.083049516702783821e-01,4.384441960969775315e-03,3.759990618808442777e-20,7.529798484151725146e-01,-1.256126492496822174e-03,-2.939025686706283613e-01,2.760299986061802002e-03,-8.643906721721771134e-04,-4.977869845799272851e-03,4.043328715337911847e-20,-9.797563850280278379e-21,1.462695624372240962e-22,2.500000000000000139e-02
7.831319992896512705e-01,2.076440615233902248e-02,7.760216629130725075e-01,4.209347025269179546e-03,-1.000505420501817083e-20,7.229053072945880176e-01,-1.196819961053202088e-03,-2.821665721537383043e-01,2.650067505684063941e-03,-8.298560301618025442e-04,-4.779072195523656821e-03,-1.114024536129500687e-20,-3.516217766838048624e-21,-1.013225883296938026e-21,2.999999999999999889e-02
7.553399575942044697e-01,1.953006922787773464e-02,7.450277517407415395e-01,4.041255288706716194e-03,-1.101233961770826519e-19,6.940319651927553402e-01,-1.140265090986508157e-03,-2.708992089435158235e-01,2.544251716453926112e-03,-7.966981628668818542e-04,-4.588205918912671363e-03,-6.719607454419744635e-20,-7.429241190535996999e-20,1.304819482209469713e-19,3.500000000000000333e-02
7.338652518055348573e-01,2.006503699716873090e-02,7.152717215770976189e-01,3.879876765758667398e-03,-2.948940161264221086e-20,6.663118465264198376e-01,-1.086339895677385526e-03,-2.600817642406441088e-01,2.442662224456376187e-03,-7.648649450558987458e-04,-4.404961787737716843e-03,-3.175551298464439113e-20,7.542563476968140597e-21,-2.269229362848535141e-22,4.000000000000000083e-02
6.895545110882097539e-01,1.988615260745055235e-02,6.867041321264822917e-01,3.724942539046097005e-03,-1.095355436122647817e-20,6.396988906805840536e-01,-1.034923957800680441e-03,-2.496962723694460540e-01,2.345129133604886753e-03,-7.343036820819310358e-04,-4.229036006518678212e-03,-1.310465286355506074e-20,-6.311250459194604411e-21,-3.430464415973855583e-21,4.499999999999999833e-02
