Fit #1
U38N3_25C_pH5.4 Pars,Fit Value,Error
pB (%),5.720,5.720
pC (%),3.640,3.640
dwB (ppm),0.73,0.60
dwC (ppm),-4.61,0.08
kexAB (s^-1),40200000,40200000
kexAC (s^-1),0,0
kexBC (s^-1),534,9
R1 (s^-1),1.74,0.08
R2 (s^-1),7.83,0.17
Red. Chi-sq,2.00
