Fit #1
U23C6_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),0.79,7.35
dwC (ppm),2.53,1.94
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),534,9
R1 (s^-1),2.37,0.15
R2 (s^-1),38.72,0.36
Red. Chi-sq,2.00
