Fit #1
U38N3_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),-0.67,2.65
dwC (ppm),-6.23,1.56
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),534,9
R1 (s^-1),1.01,0.05
R2 (s^-1),7.47,0.09
Red. Chi-sq,2.00
