Fit #1
A35C8_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),0.35,0.69
dwC (ppm),-2.70,0.08
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),534,9
R1 (s^-1),2.21,0.03
R2 (s^-1),22.32,0.05
Red. Chi-sq,2.00
