Fit #1
A35C8_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),0.00,0.00
dwC (ppm),-2.50,-2.50
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),500,500
R1 (s^-1),1.94,1.94
R1b (s^-1),0.00,0.00
R2 (s^-1),18.01,18.01
R2b (s^-1),0.00,0.00
Red. Chi-sq,2.00
