Fit #1
U23C6_25C_pH6.0 Pars,Fit Value,Error
pB (%),1.540,1.540
pC (%),0.980,0.980
dwB (ppm),-0.94,2.24
dwC (ppm),2.17,0.15
kexAB (s^-1),38500000,38500000
kexAC (s^-1),0,0
kexBC (s^-1),534,9
R1 (s^-1),1.72,0.11
R2 (s^-1),49.69,0.27
Red. Chi-sq,2.00
