Fit #1
U23C6_25C_pH5.4 Pars,Fit Value,Error
pB (%),5.720,5.720
pC (%),3.640,3.640
dwB (ppm),0.29,1.47
dwC (ppm),1.56,0.11
kexAB (s^-1),40200000,40200000
kexAC (s^-1),0,0
kexBC (s^-1),534,9
R1 (s^-1),1.81,0.20
R2 (s^-1),51.40,0.52
Red. Chi-sq,2.00
