Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
9.900566790630579428e-01,1.942524795124657075e-02,9.973078500000002178e-01,2.692150000000000792e-03,0.000000000000000000e+00,3.731866477229873746e-01,0.000000000000000000e+00,9.248538660960993196e-01,1.007386469150363612e-03,0.000000000000000000e+00,2.496566467024814630e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.877212077244695854e-01,1.975035865886264064e-02,9.860006143698130110e-01,2.641770494821725577e-03,-2.212445129845784179e-18,3.689449744680528553e-01,4.874013936262005408e-05,9.143723625976505343e-01,1.182357782854990885e-03,-1.292407839120940065e-05,2.371637720724347181e-03,-8.837091263342662955e-19,-2.836174416728252012e-19,-2.029185926628944547e-18,5.000000000000000104e-03
9.412369357699514882e-01,2.030779580425232447e-02,9.748199273649176266e-01,2.610146010024327109e-03,-4.374591624657757104e-18,3.647607604697405415e-01,4.659973186573449812e-05,9.040041363572545174e-01,1.184591432947704626e-03,-1.386366595611099064e-05,2.336634444512088356e-03,-1.748389425629409001e-18,-5.482420552393795743e-19,-4.011811071096224406e-18,1.000000000000000021e-02
9.261976884617708627e-01,1.981023742040430996e-02,9.637658827788769811e-01,2.580408128921234112e-03,1.124901426472305070e-17,3.606247672460510256e-01,4.047752584559072292e-05,8.937530163248822435e-01,1.172468078410693381e-03,-1.379890407567173672e-05,2.309458747735527919e-03,5.156637943090249937e-18,-4.816905333236180300e-18,1.004952473486391030e-17,1.499999999999999944e-02
9.684796727285431839e-01,1.898625917573304803e-02,9.528371744290543566e-01,2.551135854417192761e-03,-8.552069930146639686e-18,3.565357282605734479e-01,3.429839872836371061e-05,8.836181050487847966e-01,1.159279431689502760e-03,-1.365141940356787168e-05,2.283214988389195566e-03,-3.415900351443051894e-18,-1.041619313832319256e-18,-7.843701951092469584e-18,2.000000000000000042e-02
9.523719526068759045e-01,1.979182010646270140e-02,9.420323920911507498e-01,2.522206294978474733e-03,-2.402330079227456377e-22,3.524930511357264873e-01,2.838057947372373818e-05,8.735981208558207811e-01,1.146139512182871864e-03,-1.349855471556711902e-05,2.257321130893272850e-03,-1.557695753726049892e-20,1.970769747660768718e-21,6.026385902401547034e-21,2.500000000000000139e-02
9.106236466742062552e-01,1.954116494619017805e-02,9.313501314341755544e-01,2.493605681393762895e-03,2.174210880221131908e-17,3.484962055307990192e-01,2.274000269753173500e-05,8.636917633954235285e-01,1.133140251198809728e-03,-1.334678604045117890e-05,2.231725232253355812e-03,9.911862644127307331e-18,-9.026137557327806440e-18,1.944588399361044006e-17,2.999999999999999889e-02
9.282318483463732894e-01,1.985565167510523754e-02,9.207890031936223352e-01,2.465329453399426121e-03,-1.922225144583229391e-17,3.445446717426299821e-01,1.736764978313307334e-05,8.538977442714896782e-01,1.120287811525187954e-03,-1.319664115482139579e-05,2.206419888211198430e-03,-5.100798832784479415e-18,-2.564028121802547931e-18,-1.866992492270347774e-17,3.500000000000000333e-02
9.316351023842764922e-01,1.930616174717190645e-02,9.103476337857431266e-01,2.437373863178253323e-03,-1.634292463033248096e-17,3.406379363338903343e-01,1.225281186285173045e-05,8.442147894688017962e-01,1.107581174969532846e-03,-1.304814866911492278e-05,2.181401468191407431e-03,-6.512938771893514953e-18,-1.900740820793827442e-18,-1.499521789017411207e-17,4.000000000000000083e-02
8.922795154282070484e-01,1.967728146742985657e-02,9.000246651964245448e-01,2.409735269328876130e-03,4.803005982040426183e-17,3.367754917060830078e-01,7.385026835543767685e-06,8.346416394054989585e-01,1.095018738203413448e-03,-1.290129540798216478e-05,2.156666692478647999e-03,2.206826168639786426e-17,6.498890696285118623e-19,4.288804593796961216e-17,4.499999999999999833e-02
8.955309597920020348e-01,1.983420469926856083e-02,8.898187548102938216e-01,2.382410077100337569e-03,-2.802485549224092748e-22,3.329568360040386921e-01,2.754226945547584403e-06,8.251770487873298920e-01,1.082598866162728934e-03,-1.275606480384553206e-05,2.132212344468257820e-03,-1.763849901715122254e-20,2.330818787112571562e-21,6.815085567956822308e-21,5.000000000000000278e-02
8.817352504694413451e-01,2.055947964522579843e-02,8.797285752365836542e-01,2.355394732941101278e-03,4.355669232047949820e-22,3.291814730488712981e-01,-1.649263261391958630e-06,8.158197864469299843e-01,1.070319938291343842e-03,-1.261244012009443273e-05,2.108035246128508056e-03,-9.064617290489237707e-21,-1.173535508588578254e-20,4.127342265816253398e-21,5.500000000000000028e-02
8.583426340045499092e-01,1.956851499075855719e-02,8.697528141365344911e-01,2.328685723621339975e-03,4.061378179360118924e-17,3.254489122739671614e-01,-5.834740985299322101e-06,8.065686351835303913e-01,1.058180352223006332e-03,-1.247040472176628756e-05,2.084132255568443837e-03,1.831492790496701730e-17,-1.583917316619192511e-17,3.640527232148066341e-17,5.999999999999999778e-02
8.606235414950474949e-01,1.869768269478998962e-02,8.598901740526916360e-01,2.302279575740227152e-03,7.553599076219904011e-22,3.217586686618655323e-01,-9.811139692995050638e-06,7.974223916043520211e-01,1.046178523891305810e-03,-1.232994209971871575e-05,2.060500266462210635e-03,-7.196098964288133053e-21,-1.618051842191830624e-20,3.718224619774598170e-21,6.500000000000000222e-02
8.572927841558447559e-01,1.975813439538381608e-02,8.501393722402948994e-01,2.276172855274876446e-03,-3.550110479756881503e-17,3.181102626819067858e-01,-1.358704316417522060e-05,7.883798659679449594e-01,1.034312887344434814e-03,-1.219103587504914787e-05,2.037136207637399183e-03,-9.694914575758368519e-18,-4.393718260203875670e-18,-3.437031404969775217e-17,7.000000000000000666e-02
8.609589901895304820e-01,1.970545834053584466e-02,8.404991405001969174e-01,2.250362167126409175e-03,4.062351068632809050e-22,3.145032202284266387e-01,-1.717069900523000023e-05,7.794398820289569763e-01,1.022581894533516108e-03,-1.205366979671807855e-05,2.014037042670964190e-03,2.710112704768783568e-20,2.628879612320219500e-21,-1.049748251840282325e-20,7.499999999999999722e-02
8.532253621475965888e-01,1.943577171035057796e-02,8.309682250141686710e-01,2.224844154687126950e-03,-2.984197420450795183e-17,3.109370725598164520e-01,-2.057003164208691468e-05,7.706012768851261407e-01,1.010984015106350343e-03,-1.191782774680088078e-05,1.991199769505713410e-03,-1.183657886236693106e-17,-3.187685079213279825e-18,-2.740366113673608392e-17,8.000000000000000167e-02
7.931999621394471012e-01,1.957434821167300040e-02,8.215453861817140213e-01,2.199615499401854756e-03,3.928298688238969874e-23,3.074113562381214360e-01,-2.379265481374554268e-05,7.618629008256844193e-01,9.995177362014380333e-04,-1.178349373534755769e-05,1.968621420060402086e-03,3.451972318060222720e-20,5.212979252684544490e-20,-1.388665065229958498e-20,8.500000000000000611e-02
8.317634908305451269e-01,1.983190770199234204e-02,8.122293984587617421e-01,2.174672920332717911e-03,8.671000933957970770e-17,3.039256130693164804e-01,-2.684588358412976340e-05,7.532236171815113179e-01,9.881815622419742005e-04,-1.165065190663449621e-05,1.946299059843535585e-03,3.918618235704520171e-17,1.052161195447665817e-18,7.769099053491196666e-17,8.999999999999999667e-02
8.030715941923333157e-01,1.881497609994585776e-02,8.030190501985442486e-01,2.150013173741799257e-03,-4.919488007907210203e-17,3.004793900443745169e-01,-2.973674589194437478e-05,7.446823021773265605e-01,9.769740147385767067e-04,-1.151928653553061780e-05,1.924229787582933940e-03,-2.521533417798859116e-17,1.073136498009756004e-17,-4.287424803330887280e-17,9.500000000000000111e-02
7.721658090977917555e-01,2.152011825168459111e-02,7.939131434936541609e-01,2.125633052658472237e-03,-3.452544233415760424e-22,2.970722392807542134e-01,-3.247199365513853868e-05,7.362378447849835528e-01,9.658936320867143530e-04,-1.138938202928359477e-05,1.902410734840909471e-03,-2.018559954551398574e-20,2.792406778806562523e-21,7.772764480476625669e-21,1.000000000000000056e-01
7.882187680191570234e-01,2.087963337541182476e-02,7.849104940205401393e-01,2.101529386472780845e-03,4.608162750553438107e-17,2.937037179647758456e-01,-3.505811344847920328e-05,7.278891465790343629e-01,9.549389693730272804e-04,-1.126092292912611103e-05,1.880839065653942170e-03,2.432190444334735176e-17,-4.030105065344142630e-18,3.987760685076870119e-17,1.049999999999999961e-01
7.725362466349215973e-01,1.957300262273255209e-02,7.760099308853811717e-01,2.077699040519517121e-03,5.190460583637515925e-22,2.903733882944913858e-01,-3.750133676928129060e-05,7.196351215935827828e-01,9.441085981821440440e-04,-1.113389390639725586e-05,1.859511976162125197e-03,-1.309863585752822246e-20,-1.506722688845433657e-20,5.845123118478796473e-21,1.100000000000000006e-01
