Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.022818739236228236e+00,2.112314840357748524e-02,9.973078500000001068e-01,2.692149999999999925e-03,0.000000000000000000e+00,9.889308741392467406e-01,0.000000000000000000e+00,-1.289909835833799867e-01,2.669537046974986873e-03,0.000000000000000000e+00,-3.482004843880417283e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.528145543068883283e-01,1.938490299156640090e-02,9.615074999105676090e-01,1.862968631474075940e-03,6.472645650237199292e-21,9.534806530230485189e-01,-4.955119982102354102e-04,-1.239817030730874375e-01,1.706551942231300089e-03,-1.895055253892432017e-04,-1.320180153273637714e-03,6.676938711105052240e-21,7.034672547157606966e-22,1.145898068153244408e-21,5.000000000000000104e-03
9.261946421577379462e-01,2.053461037044658835e-02,9.269736811915856300e-01,1.734327765301421544e-03,6.742369931879843397e-21,9.192398144831320783e-01,-5.286062544782343161e-04,-1.194928148245304467e-01,1.572185556260739542e-03,-1.986770101199683623e-04,-1.355721566639532007e-03,6.957658028286327039e-21,7.447382048720985498e-22,1.212676815556637233e-21,1.000000000000000021e-02
8.709577871740699084e-01,2.063191636428362771e-02,8.936786246892588492e-01,1.666826370978978381e-03,-7.126479226940559085e-21,8.862234453150878988e-01,-5.228068439432321472e-04,-1.151939531653544957e-01,1.509551634176195317e-03,-1.928969567023285688e-04,-1.314020581218305851e-03,-6.685500049526787835e-21,2.480375634062020183e-21,3.843650572156179765e-21,1.499999999999999944e-02
8.326005550870667626e-01,1.988849220195162623e-02,8.615793287304110981e-01,1.606512014824482181e-03,6.226992546571487693e-21,8.543924957765228756e-01,-5.138046378186467231e-04,-1.110520273304256289e-01,1.454805205167649350e-03,-1.860921607818398341e-04,-1.267416184553128364e-03,6.430917858298810879e-21,7.124850366061617109e-22,1.159031944595264434e-21,2.000000000000000042e-02
8.123815634118070061e-01,2.062726329896008570e-02,8.306329694514192896e-01,1.548765497613130296e-03,-4.025118620080808822e-18,8.237048035239159516e-01,-5.046105070716224925e-04,-1.070591845838696071e-01,1.402500393116395657e-03,-1.794276912986544849e-04,-1.221946251240193810e-03,-3.985914861273986621e-18,-1.237221577937170925e-20,5.619627587117659155e-19,2.500000000000000139e-02
7.897631925313277623e-01,1.964178871406488738e-02,8.007981460506145011e-01,1.493127116022864402e-03,-7.018022615977553687e-21,7.941193402074501195e-01,-4.954813456332969211e-04,-1.032098807966926463e-01,1.352114489456043801e-03,-1.729935847262335802e-04,-1.178063967278221956e-03,-6.636951434852275641e-21,2.297552005748444955e-21,3.377312508220076876e-21,2.999999999999999889e-02
7.849190467673707872e-01,1.930012584623115937e-02,7.720349350756620099e-01,1.439490181983059565e-03,-7.310971780524507350e-22,7.655965190843043722e-01,-4.864417189828144201e-04,-9.949894180701573942e-02,1.303541911418769957e-03,-1.667895846158525864e-04,-1.135753930106487035e-03,-4.843846420402053042e-22,1.312193540711220472e-21,1.938941935041850889e-21,3.500000000000000333e-02
7.102245214309568233e-01,1.994590641083445262e-02,7.443048462357059192e-01,1.387780193711250082e-03,5.226256705913558611e-21,7.380981725858989373e-01,-4.774963578466151840e-04,-9.592139376129989181e-02,1.256714434310745926e-03,-1.608081077515888160e-04,-1.094963177058940005e-03,5.406566032314253585e-21,6.428570449254321125e-22,1.042966180798195414e-21,4.000000000000000083e-02
7.034424667928768082e-01,2.038683535001184835e-02,7.175707716723154217e-01,1.337927714658901325e-03,-1.324024880873625337e-20,7.115875038164373168e-01,-4.686480767035393563e-04,-9.247244274165483668e-02,1.211569112356311118e-03,-1.550412249838818886e-04,-1.055637436171848100e-03,-1.307546300664237631e-20,1.635908001315390475e-21,2.123210509473723783e-21,4.499999999999999833e-02
7.080539768669033007e-01,1.877477335379439810e-02,6.917969363678732053e-01,1.289866003737677024e-03,-6.743437379044507508e-18,6.860290375292734666e-01,-4.598992963638500690e-04,-8.914746719073439463e-02,1.168045499115736956e-03,-1.494812397022316159e-04,-1.017724114150337636e-03,-6.681659949214519979e-18,-1.362338372062718245e-20,9.115615414359283736e-19,5.000000000000000278e-02
6.778592075525118332e-01,2.010083981843523854e-02,6.669488502777376482e-01,1.243530734151016958e-03,-1.266866973512199315e-20,6.613885726735444504e-01,-4.512521844281842812e-04,-8.594201162548409378e-02,1.126085339475830236e-03,-1.441207271880977380e-04,-9.811724838894558386e-04,-1.291820497811016075e-20,-5.506851667738752723e-22,-1.090370516687708172e-21,5.500000000000000028e-02
6.224228586572315702e-01,2.014052232617480689e-02,6.429932621768140732e-01,1.198859891141190173e-03,-6.653758553817187169e-21,6.376331366291027036e-01,-4.427086787508173146e-04,-8.285178066239290429e-02,1.085632472549967692e-03,-1.389525288706118490e-04,-9.459336383274505062e-04,-6.372967536006381376e-21,1.971208497204182915e-21,2.584841763511105310e-21,5.999999999999999778e-02
6.139279266595926154e-01,2.062140889528792445e-02,6.198981151633539133e-01,1.155793687633224895e-03,-6.850867296296176425e-21,6.147309410837774601e-01,-4.342705005272211793e-04,-7.987263326459763391e-02,1.046632754904644035e-03,-1.339697431105146418e-04,-9.119604268340670769e-04,-7.006855121259010345e-21,-4.068018652064630446e-22,-7.509953288065348759e-22,6.500000000000000222e-02
6.127898754799362413e-01,1.997125626632386547e-02,5.976325037611889268e-01,1.114274484107155789e-03,-1.174036614413763928e-21,5.926513394955691405e-01,-4.259391660141509015e-04,-7.700057719630647168e-02,1.009033987962313847e-03,-1.291657160039824637e-04,-8.792073922723219522e-04,-9.941020222031131262e-22,1.097862614543088379e-21,1.455743221152915937e-21,7.000000000000000666e-02
5.658050135035125328e-01,2.014233143966586564e-02,5.761666325624521523e-01,1.074246711450186796e-03,-6.662323520704687324e-21,5.713647860823913849e-01,-4.177159976598439871e-04,-7.423176367646373841e-02,9.727858481321616062e-04,-1.245340324911992222e-04,-8.476307101856740906e-04,-6.971611991071992949e-21,-1.296772273108260001e-21,-1.938544750226066338e-21,7.499999999999999722e-02
5.543849589048277515e-01,1.956316771464837456e-02,5.554717763561081156e-01,1.035656796588309237e-03,3.668414885788316494e-21,5.508427962851494275e-01,-4.096021347297849587e-04,-7.156248222453664987e-02,9.378398194605121327e-04,-1.200685077813673989e-04,-8.171881301576335282e-04,3.809573028258121859e-21,5.244214136624324432e-22,8.439769916839944097e-22,8.000000000000000167e-02
5.220150432818474462e-01,1.967959353323740432e-02,5.355202416883352301e-01,9.984530907887611152e-04,-8.843529632931982612e-21,5.310579086506508339e-01,-4.015985434539377482e-04,-6.898915569143863891e-02,9.041491287001155938e-04,-1.157631790874480735e-04,-7.878389192765598370e-04,-8.862477094002015099e-21,5.509938649615903888e-22,4.290556090259302672e-22,8.500000000000000611e-02
5.053381946783919165e-01,1.929223053751614667e-02,5.162853298037115568e-01,9.625858005393530831e-04,-1.060638370150129668e-20,5.119836480837279824e-01,-3.937060267162992180e-04,-6.650833546899394266e-02,8.716686827133172250e-04,-1.116122976524291406e-04,-7.595438076306610265e-04,-1.053085675792907098e-20,1.302611455777987389e-21,1.267843240063330683e-21,8.999999999999999667e-02
4.964790143773147313e-01,1.925084572302884767e-02,4.977413009174356806e-01,9.280069209098138925e-04,-6.206260990578838386e-21,4.935944904192235971e-01,-3.859252333040779498e-04,-6.411669687149813834e-02,8.403550081227673108e-04,-1.076103210691723149e-04,-7.322649357618716843e-04,-6.749839250693428280e-21,-2.691815648699249801e-21,-3.764384237916322293e-21,9.500000000000000111e-02
4.600684568033639454e-01,1.916295825384682974e-02,4.798633397709237691e-01,8.946701713068513787e-04,-9.454586848459646707e-18,4.758658282665788608e-01,-3.782566667360878808e-04,-6.181103468321990507e-02,8.101661931301343570e-04,-1.037519058704979745e-04,-7.059658040056310821e-04,-9.370611159942846676e-18,-1.447221421616708076e-20,1.257816572500428662e-18,1.000000000000000056e-01
4.575068115034666705e-01,2.008150008590144087e-02,4.626275224244204010e-01,8.625309335363410277e-04,-6.238656208508628888e-21,4.587739380810518242e-01,-3.707006936881281642e-04,-5.958825886584342979e-02,7.810618314240617543e-04,-1.000319003867578053e-04,-6.806112236509412111e-04,-6.565383029290097557e-21,-1.455461392961298750e-21,-2.099752715218749034e-21,1.049999999999999961e-01
4.617556115779325454e-01,2.108992669009036869e-02,4.460107842425082847e-01,8.315461920915237417e-04,-8.387325370911387692e-21,4.422959484178218270e-01,-3.632575520304625423e-04,-5.744539042014702723e-02,7.530029681041452549e-04,-9.644533786190619281e-05,-6.561672698549018056e-04,-8.583445054123135386e-21,-4.167900440472424400e-22,-9.588917314220358108e-22,1.100000000000000006e-01
4.481365455931499708e-01,2.035131233626932476e-02,4.299908890294715791e-01,8.016744765845985497e-04,-6.783431407075362580e-21,4.264098093262954081e-01,-3.559273584950789146e-04,-5.537955739635486846e-02,7.259520475459723451e-04,-9.298742981269853057e-05,-6.326012362476527307e-04,-7.321932004290983466e-21,-2.687412131021510017e-21,-3.687972693620887584e-21,1.150000000000000050e-01
4.198053219392302582e-01,1.948350863152366330e-02,4.145463992732165703e-01,7.728758062470664127e-04,-5.628577294124604515e-21,4.110942628436647928e-01,-3.487101159866700978e-04,-5.338799104781610794e-02,6.998728631396519120e-04,-8.965355963106523400e-05,-6.098815911686805745e-04,-5.486193053789608148e-21,1.457782006240279354e-21,1.457145469860764098e-21,1.199999999999999956e-01
4.118773953849064196e-01,1.979951831407665216e-02,3.996566474579666406e-01,7.451116364231054204e-04,3.800107253200464303e-21,3.963288145482703473e-01,-3.416057205552643604e-04,-5.146802212287084760e-02,6.747305088333546957e-04,-8.643927641200441355e-05,-5.879779354740337924e-04,-2.429187831121414136e-21,9.467873729164784577e-21,-4.800471682375728461e-20,1.250000000000000000e-01
3.746142350116711817e-01,1.984099899489678506e-02,3.853017084075553433e-01,7.183448069851423303e-04,-4.134560047422052822e-21,3.820937061349096719e-01,-3.346139680398869010e-04,-4.961707728996535283e-02,6.504913324175250417e-04,-8.334028900594672240e-05,-5.668609618600668320e-04,-4.247362728225769558e-21,-2.932823816816918631e-22,-5.963125629680949160e-22,1.300000000000000044e-01
3.916174674421097901e-01,1.959397324247554376e-02,3.714623726217515798e-01,6.925394926019100457e-04,1.052903021096874510e-21,3.683698889748450167e-01,-3.277345604018831998e-04,-4.783267569115697698e-02,6.271228904868473772e-04,-8.035246028310563541e-05,-5.465024156471008643e-04,8.330121362701840717e-22,-1.502665039914302556e-21,-1.754208099297795198e-21,1.350000000000000089e-01
3.728619114410890445e-01,1.982468119804117052e-02,3.581201205706536217e-01,6.676611547935433835e-04,-1.448619450340439602e-21,3.551389986258371989e-01,-3.209671117580927620e-04,-4.611242561948928481e-02,6.045939050205137747e-04,-7.747180160451231886e-05,-5.268750569727816352e-04,-1.357254661707215452e-21,7.733227747723670642e-22,7.945401113192743544e-22,1.400000000000000133e-01
