Fit #1
A35C8_25C_pH6.0 Pars,Fit Value,Error
pB (%),1.540,1.540
pC (%),0.980,0.980
dwB (ppm),-0.72,0.53
dwC (ppm),-2.57,0.02
kexAB (s^-1),38500000,38500000
kexAC (s^-1),0,0
kexBC (s^-1),732,10
R1 (s^-1),1.36,0.03
R2 (s^-1),33.56,0.09
Red. Chi-sq,0.66
