Fit #1
U23C6_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),0.90,4.01
dwC (ppm),2.24,0.37
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),2937,306
R1 (s^-1),2.40,0.07
R2 (s^-1),38.25,0.21
Red. Chi-sq,0.41
