Fit #1
A35C8_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),-0.07,0.51
dwC (ppm),-2.75,0.11
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),2937,306
R1 (s^-1),1.94,0.02
R2 (s^-1),18.01,0.08
Red. Chi-sq,0.41
