Fit #1
U38N3_25C_pH7.0 Pars,Fit Value,Error
pB (%),0.160,0.160
pC (%),0.100,0.100
dwB (ppm),0.26,0.92
dwC (ppm),-5.53,0.27
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),2937,306
R1 (s^-1),1.04,0.02
R2 (s^-1),7.00,0.06
Red. Chi-sq,0.41
