Fit #1
U23C6_25C_pH5.4 Pars,Fit Value,Error
pB (%),5.720,5.720
pC (%),3.640,3.640
dwB (ppm),-0.37,1.18
dwC (ppm),1.68,0.09
kexAB (s^-1),40200000,40200000
kexAC (s^-1),0,0
kexBC (s^-1),396,7
R1 (s^-1),1.70,0.15
R2 (s^-1),52.13,0.39
Red. Chi-sq,1.16
