Fit #1
U23C6_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),-1.66,-1.66
dwC (ppm),2.42,2.42
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),600,600
R1 (s^-1),2.44,2.44
R1b (s^-1),0.00,0.00
R2 (s^-1),31.49,31.49
R2b (s^-1),0.00,0.00
Red. Chi-sq,2.06
