Fit #1
U23C6_25C_pH5.4 Pars,Fit Value,Error
pB (%),5.720,5.720
pC (%),3.640,3.640
dwB (ppm),0.78,0.78
dwC (ppm),1.23,1.23
kexAB (s^-1),40200000,40200000
kexAC (s^-1),0,0
kexBC (s^-1),600,600
R1 (s^-1),2.09,2.09
R1b (s^-1),0.00,0.00
R2 (s^-1),50.52,50.52
R2b (s^-1),0.00,0.00
Red. Chi-sq,2.06
