Fit #1
U38N3_25C_pH6.0 Pars,Fit Value,Error
pB (%),1.540,1.540
pC (%),0.980,0.980
dwB (ppm),0.25,0.86
dwC (ppm),-5.46,0.11
kexAB (s^-1),38500000,38500000
kexAC (s^-1),0,0
kexBC (s^-1),563,9
R1 (s^-1),1.24,0.04
R2 (s^-1),8.45,0.08
Red. Chi-sq,2.06
