Fit #1
A35C8_25C_pH6.0 Pars,Fit Value,Error
pB (%),1.540,1.540
pC (%),0.980,0.980
dwB (ppm),0.16,1.21
dwC (ppm),-2.57,0.05
kexAB (s^-1),38500000,38500000
kexAC (s^-1),0,0
kexBC (s^-1),563,9
R1 (s^-1),1.43,0.05
R2 (s^-1),34.23,0.14
Red. Chi-sq,2.06
