Fit #1
U23C6_25C_pH7.4 Pars,Fit Value,Error
pB (%),0.063,0.063
pC (%),0.040,0.040
dwB (ppm),-4.49,-4.49
dwC (ppm),2.78,2.78
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),600,600
R1 (s^-1),1.95,1.95
R1b (s^-1),0.00,0.00
R2 (s^-1),47.86,47.86
R2b (s^-1),0.00,0.00
Red. Chi-sq,2.06
