Fit #1
U38N3_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),1.53,1.36
dwC (ppm),-6.77,0.33
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),563,9
R1 (s^-1),1.59,0.03
R2 (s^-1),6.84,0.06
Red. Chi-sq,2.06
