Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.004924669347942778e+00,1.848013790550702071e-02,9.943858700000003381e-01,5.614130000000001897e-03,0.000000000000000000e+00,9.260146616789241003e-01,0.000000000000000000e+00,3.623535632656658678e-01,5.228118026829462611e-03,0.000000000000000000e+00,2.045785314846310533e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.926980981188903153e-01,1.877965508976540618e-02,9.532061384099939083e-01,1.312961708527911331e-03,8.044770563123888984e-20,8.870882135384580147e-01,-1.316920763742844428e-03,3.488251147686793896e-01,1.765476075152817327e-03,-1.118698695124563597e-03,-9.086875168445639282e-04,9.176243492238857360e-20,2.970237146578223939e-20,-1.373602713054421207e-20,5.000000000000000104e-03
9.084503780274600926e-01,2.003307020738405442e-02,9.132928592927561651e-01,9.190287585777692954e-04,8.244697131087893431e-20,8.498887464191919872e-01,-1.377423492230697840e-03,3.343587224053163331e-01,1.421117170676808360e-03,-1.165095627916797223e-03,-1.109706554926874434e-03,9.595236863766238599e-20,2.768878756657975379e-20,-1.895716665114362641e-20,1.000000000000000021e-02
8.684575601779600529e-01,1.916866124344993733e-02,8.750142951045104533e-01,8.522655313905006663e-04,1.741781929525546621e-19,8.142567170863866943e-01,-1.335070657816402745e-03,3.203727090777397368e-01,1.339012300333507948e-03,-1.124072749970716654e-03,-1.083097450008388288e-03,1.862549492912840900e-19,1.280705269233141742e-19,2.002243537007602120e-21,1.499999999999999944e-02
8.716910402646239620e-01,1.942688517953919738e-02,8.383370418987248218e-01,8.141952183960583789e-04,7.354575347963783046e-20,7.801191477996578527e-01,-1.285942517736235382e-03,3.069619049425215684e-01,1.281005495014137744e-03,-1.077643340672843541e-03,-1.039331988584971805e-03,8.956917468631014581e-20,1.894963003773767389e-20,-2.707165577990115960e-20,2.000000000000000042e-02
8.633495293464085174e-01,1.989467415042723425e-02,8.031969051972949192e-01,7.798788449610255351e-04,1.303023491617596046e-19,7.474127822626400741e-01,-1.237978431813713948e-03,2.941117997957760632e-01,1.227151962639040205e-03,-1.032564893271862433e-03,-9.958787282742492374e-04,1.424881036753386117e-19,3.034588258821224953e-20,-6.555084659643833338e-21,2.500000000000000139e-02
7.455488951402385878e-01,1.914903495918279450e-02,7.695296983699926319e-01,7.471805429268740979e-04,1.710582755176763881e-19,7.160775715759095661e-01,-1.191773700368082894e-03,2.817997082890191796e-01,1.175699352659983132e-03,-9.893252046895470962e-04,-9.541207790212207201e-04,1.853401109017655358e-19,1.259658921639758421e-19,-4.221644619972452602e-21,2.999999999999999889e-02
6.959465095474030027e-01,1.987410586777102819e-02,7.372737016537259658e-01,7.158675782295361063e-04,1.707161403757266244e-17,6.860560304657579156e-01,-1.147314067683147904e-03,2.700031632662481806e-01,1.126415472845283729e-03,-9.478926195558458464e-04,-9.141034392735205389e-04,1.593197679077275644e-17,-1.476090696319825029e-19,6.133588584700951889e-18,3.500000000000000333e-02
6.943453742000107454e-01,1.969862033269156182e-02,7.063697637261087126e-01,6.858681441123757466e-04,5.721552003653123642e-20,6.572930873375576466e-01,-1.104536956746665979e-03,2.587005777033553611e-01,1.079198450583520111e-03,-9.081952131846840861e-04,-8.757634230310765286e-04,7.707290124636884167e-20,3.973488829265382382e-21,-3.995084737893761390e-20,4.000000000000000083e-02
6.975524965830932622e-01,1.938581183021243284e-02,6.767612111293177524e-01,6.571260443067883372e-04,3.821549469099041931e-20,6.297359795520836023e-01,-1.063378151514743266e-03,2.478712637724522216e-01,1.033960734708516032e-03,-8.701606072317942834e-04,-8.390312045857600733e-04,4.927371993430453976e-20,7.395911029898156815e-21,-2.104916284003572011e-20,4.499999999999999833e-02
