Fit #1
U38N3_25C_pH5.4 Pars,Fit Value,Error
pB (%),5.720,5.720
pC (%),3.640,3.640
dwB (ppm),-0.42,0.68
dwC (ppm),-4.77,0.10
kexAB (s^-1),40200000,40200000
kexAC (s^-1),0,0
kexBC (s^-1),515,12
R1 (s^-1),1.71,0.08
R2 (s^-1),7.91,0.18
Red. Chi-sq,2.05
