Fit #1
U38N3_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),1.60,1.31
dwC (ppm),-6.82,0.34
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),535,12
R1 (s^-1),1.59,0.03
R2 (s^-1),6.86,0.06
Red. Chi-sq,1.94
