Fit #1
A35C8_25C_pH5.4 Pars,Fit Value,Error
pB (%),5.720,5.720
pC (%),3.640,3.640
dwB (ppm),-0.43,-0.43
dwC (ppm),-2.45,-2.45
kexAB (s^-1),40200000,40200000
kexAC (s^-1),0,0
kexBC (s^-1),600,600
R1 (s^-1),1.06,1.06
R1b (s^-1),0.00,0.00
R2 (s^-1),36.55,36.55
R2b (s^-1),0.00,0.00
Red. Chi-sq,1.94
