Fit #1
U23C6_25C_pH7.4 Pars,Fit Value,Error
pB (%),0.063,0.063
pC (%),0.040,0.040
dwB (ppm),1.08,3.12
dwC (ppm),2.80,2.05
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),535,12
R1 (s^-1),1.95,0.08
R2 (s^-1),47.92,0.19
Red. Chi-sq,1.94
