Fit #1
U38N3_25C_pH7.4 Pars,Fit Value,Error
pB (%),0.063,0.063
pC (%),0.040,0.040
dwB (ppm),-0.69,1.46
dwC (ppm),-6.17,1.66
kexAB (s^-1),37900000,37900000
kexAC (s^-1),0,0
kexBC (s^-1),535,12
R1 (s^-1),1.48,0.03
R2 (s^-1),8.54,0.05
Red. Chi-sq,1.94
