Fit #1
A35C8_25C_pH6.0 Pars,Fit Value,Error
pB (%),1.540,1.540
pC (%),0.980,0.980
dwB (ppm),0.88,1.01
dwC (ppm),-2.56,0.05
kexAB (s^-1),38500000,38500000
kexAC (s^-1),0,0
kexBC (s^-1),609,14
R1 (s^-1),1.40,0.06
R2 (s^-1),34.05,0.16
Red. Chi-sq,2.39
