Fit #1
U23C6_25C_pH5.4 Pars,Fit Value,Error
pB (%),5.720,5.720
pC (%),3.640,3.640
dwB (ppm),0.81,1.58
dwC (ppm),1.59,0.11
kexAB (s^-1),40200000,40200000
kexAC (s^-1),0,0
kexBC (s^-1),533,10
R1 (s^-1),1.81,0.21
R2 (s^-1),51.41,0.54
Red. Chi-sq,2.19
