Fit #1
U23C6_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),-0.91,3.56
dwC (ppm),2.73,0.52
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),533,10
R1 (s^-1),2.41,0.13
R2 (s^-1),31.83,0.29
Red. Chi-sq,2.19
