Fit #1
U38N3_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),-0.64,0.87
dwC (ppm),-6.83,0.35
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),533,10
R1 (s^-1),1.59,0.03
R2 (s^-1),6.86,0.06
Red. Chi-sq,2.19
