Fit #1
U38N3_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),-0.35,0.70
dwC (ppm),-5.71,0.16
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),1173,47
R1 (s^-1),1.63,0.02
R2 (s^-1),6.47,0.05
Red. Chi-sq,1.17
