Fit #1
U23C6_25C_pH6.4 Pars,Fit Value,Error
pB (%),0.620,0.620
pC (%),0.400,0.400
dwB (ppm),0.45,2.63
dwC (ppm),2.32,0.21
kexAB (s^-1),38100000,38100000
kexAC (s^-1),0,0
kexBC (s^-1),1173,47
R1 (s^-1),2.45,0.09
R2 (s^-1),31.35,0.22
Red. Chi-sq,1.17
